quarter,ticker,revenue_growth_yoy,gross_margin,operating_cash_flow_margin,net_income_margin,guide_change
2025-06-30,AVGO,0.3525,0.6100000000000001,0.22250000000000003,0.175,stable
2025-09-30,AVGO,0.3665,0.6140000000000001,0.22750000000000004,0.179,raised
2025-12-31,AVGO,0.38049999999999995,0.6180000000000001,0.23250000000000004,0.183,raised
2026-03-31,AVGO,0.39449999999999996,0.6220000000000001,0.23750000000000004,0.187,raised
2024-03-31,TSM,0.26449999999999996,0.566,0.1835,0.143,mixed
2024-06-30,TSM,0.27849999999999997,0.57,0.1885,0.147,mixed
2024-09-30,TSM,0.2925,0.574,0.1935,0.151,mixed
2024-12-31,TSM,0.30649999999999994,0.578,0.1985,0.155,mixed
2025-03-31,TSM,0.32049999999999995,0.582,0.2035,0.15899999999999997,stable
2025-06-30,TSM,0.33449999999999996,0.586,0.2085,0.16299999999999998,stable
2025-09-30,TSM,0.3485,0.59,0.2135,0.16699999999999998,raised
2025-12-31,TSM,0.36249999999999993,0.594,0.2185,0.17099999999999999,raised
2026-03-31,TSM,0.37649999999999995,0.598,0.2235,0.175,raised
2024-03-31,ARM,0.242,0.536,0.16600000000000004,0.128,mixed
2024-06-30,ARM,0.256,0.54,0.17100000000000004,0.132,mixed
2024-09-30,ARM,0.27,0.544,0.17600000000000005,0.136,mixed
2024-12-31,ARM,0.284,0.548,0.18100000000000005,0.14,mixed
2025-03-31,ARM,0.298,0.552,0.18600000000000003,0.14400000000000002,stable
2025-06-30,ARM,0.312,0.556,0.19100000000000003,0.148,stable
2025-09-30,ARM,0.326,0.56,0.19600000000000004,0.152,stable
2025-12-31,ARM,0.33999999999999997,0.5640000000000001,0.20100000000000004,0.156,stable
2026-03-31,ARM,0.354,0.5680000000000001,0.20600000000000004,0.16,stable
2024-03-31,SOUN,0.21050000000000002,0.494,0.14150000000000001,0.107,mixed
2024-06-30,SOUN,0.22450000000000003,0.498,0.14650000000000002,0.111,mixed
2024-09-30,SOUN,0.23850000000000002,0.502,0.15150000000000002,0.11499999999999999,mixed
2024-12-31,SOUN,0.2525,0.506,0.15650000000000003,0.119,mixed
2025-03-31,SOUN,0.2665,0.51,0.1615,0.123,stable
2025-06-30,SOUN,0.2805,0.514,0.1665,0.127,stable
2025-09-30,SOUN,0.29450000000000004,0.518,0.1715,0.131,stable
2025-12-31,SOUN,0.3085,0.522,0.17650000000000002,0.135,stable
2026-03-31,SOUN,0.3225,0.526,0.18150000000000002,0.139,stable
2024-03-31,CRWV,0.26349999999999996,0.518,0.1555,0.119,mixed
2024-06-30,CRWV,0.27749999999999997,0.522,0.1605,0.123,mixed
2024-09-30,CRWV,0.2915,0.526,0.1655,0.127,mixed
2024-12-31,CRWV,0.3055,0.53,0.17049999999999998,0.131,mixed
2025-03-31,CRWV,0.3195,0.534,0.1755,0.135,stable
2025-06-30,CRWV,0.3335,0.538,0.1805,0.13899999999999998,stable
2025-09-30,CRWV,0.34750000000000003,0.542,0.1855,0.143,stable
2025-12-31,CRWV,0.36150000000000004,0.546,0.1905,0.147,stable
2026-03-31,CRWV,0.37549999999999994,0.55,0.1955,0.151,stable
