date,ticker,company,concept,open,high,low,close,volume,amount,turnover_rate
2024-01-30,600519,Kweichow Moutai,白酒消费,1491.86,1513.02,1458.48,1494.75,70859763,105917561709.62,4.724
2024-01-31,600519,Kweichow Moutai,白酒消费,1458.14,1488.35,1446.0,1461.36,67063345,98003664322.06,4.471
2024-02-01,600519,Kweichow Moutai,白酒消费,1436.55,1459.51,1429.97,1447.17,71953532,104129195078.27,4.797
2024-02-02,600519,Kweichow Moutai,白酒消费,1459.68,1478.0,1434.88,1459.17,62203666,90765622121.29,4.147
2024-02-05,600519,Kweichow Moutai,白酒消费,1472.12,1508.08,1446.69,1480.46,77136549,114197844831.32,5.142
2024-02-06,600519,Kweichow Moutai,白酒消费,1456.54,1498.02,1450.32,1461.83,67010929,97958265145.59,4.467
2024-02-07,600519,Kweichow Moutai,白酒消费,1442.36,1470.84,1403.45,1438.15,63280889,91007338509.52,4.219
2024-02-08,600519,Kweichow Moutai,白酒消费,1458.87,1474.11,1451.12,1460.68,63906960,93347832954.48,4.26
2024-02-09,600519,Kweichow Moutai,白酒消费,1443.2,1450.84,1425.85,1440.13,73345221,105626791317.23,4.89
2024-02-12,600519,Kweichow Moutai,白酒消费,1453.4,1467.15,1430.49,1458.67,85397866,124567604303.87,5.693
2024-02-13,600519,Kweichow Moutai,白酒消费,1459.17,1464.01,1425.19,1448.61,75984425,110071871751.52,5.066
2024-02-14,600519,Kweichow Moutai,白酒消费,1482.07,1512.62,1449.1,1470.29,71752910,105497460317.9,4.784
2024-02-15,600519,Kweichow Moutai,白酒消费,1463.61,1490.61,1450.92,1479.11,62171403,91958059797.02,4.145
2024-02-16,600519,Kweichow Moutai,白酒消费,1494.86,1501.05,1457.79,1493.54,68571789,102414560967.04,4.571
2024-02-19,600519,Kweichow Moutai,白酒消费,1446.6,1479.82,1432.97,1437.54,66110670,95036749784.93,4.407
2024-02-20,600519,Kweichow Moutai,白酒消费,1447.47,1461.66,1429.65,1444.8,59082354,85362056954.97,3.939
2024-02-21,600519,Kweichow Moutai,白酒消费,1447.38,1463.96,1418.74,1445.25,77857172,112522931619.19,5.19
2024-02-22,600519,Kweichow Moutai,白酒消费,1447.04,1477.55,1408.7,1431.4,78544638,112428931667.06,5.236
2024-02-23,600519,Kweichow Moutai,白酒消费,1434.55,1442.35,1425.21,1431.43,60146606,86095409788.82,4.01
2024-02-26,600519,Kweichow Moutai,白酒消费,1424.12,1440.92,1407.41,1425.14,72427717,103219715109.63,4.829
2024-02-27,600519,Kweichow Moutai,白酒消费,1421.51,1450.07,1391.55,1412.92,66054300,93329197056.25,4.404
2024-02-28,600519,Kweichow Moutai,白酒消费,1434.66,1480.78,1423.72,1448.97,64280854,93141099054.32,4.285
2024-02-29,600519,Kweichow Moutai,白酒消费,1460.84,1498.99,1451.39,1474.7,73105290,107808259458.03,4.874
2024-03-01,600519,Kweichow Moutai,白酒消费,1510.22,1530.65,1495.85,1509.23,67761862,102267992262.34,4.517
2024-03-04,600519,Kweichow Moutai,白酒消费,1529.72,1543.22,1517.35,1534.57,92109767,141349175959.19,6.141
2024-03-05,600519,Kweichow Moutai,白酒消费,1521.28,1534.31,1492.04,1520.22,72163224,109704145099.04,4.811
2024-03-06,600519,Kweichow Moutai,白酒消费,1563.86,1593.62,1532.37,1562.47,85124268,133004212711.73,5.675
2024-03-07,600519,Kweichow Moutai,白酒消费,1524.02,1538.89,1501.53,1531.73,66249367,101476027969.78,4.417
2024-03-08,600519,Kweichow Moutai,白酒消费,1510.31,1547.5,1464.45,1490.82,66239350,98751111951.02,4.416
2024-03-11,600519,Kweichow Moutai,白酒消费,1484.76,1514.15,1478.82,1484.28,58373418,86642379767.46,3.892
2024-03-12,600519,Kweichow Moutai,白酒消费,1518.51,1540.42,1475.2,1512.26,81685494,123529478217.58,5.446
2024-03-13,600519,Kweichow Moutai,白酒消费,1536.37,1572.74,1505.97,1517.29,79054400,119948817303.73,5.27
2024-03-14,600519,Kweichow Moutai,白酒消费,1530.35,1567.29,1501.58,1535.13,60509017,92888982636.81,4.034
2024-03-15,600519,Kweichow Moutai,白酒消费,1544.77,1575.48,1513.7,1551.85,63329486,98277753025.54,4.222
2024-03-18,600519,Kweichow Moutai,白酒消费,1621.49,1639.69,1577.04,1598.82,85364809,136482963996.56,5.691
2024-03-19,600519,Kweichow Moutai,白酒消费,1595.6,1614.28,1572.23,1586.57,78353484,124313319523.97,5.224
2024-03-20,600519,Kweichow Moutai,白酒消费,1541.64,1575.78,1516.2,1553.36,84272419,130905481833.43,5.618
2024-03-21,600519,Kweichow Moutai,白酒消费,1554.76,1566.83,1529.43,1551.18,62915958,97593997377.17,4.194
2024-03-22,600519,Kweichow Moutai,白酒消费,1508.02,1527.16,1484.98,1508.71,79567621,120044251107.84,5.305
2024-03-25,600519,Kweichow Moutai,白酒消费,1447.69,1466.5,1416.9,1451.6,60707416,88123145573.07,4.047
2024-03-26,600519,Kweichow Moutai,白酒消费,1478.13,1501.26,1449.24,1467.18,59892086,87872314457.68,3.993
2024-03-27,600519,Kweichow Moutai,白酒消费,1512.93,1542.57,1476.68,1502.18,69243783,104016885228.84,4.616
2024-03-28,600519,Kweichow Moutai,白酒消费,1571.51,1589.22,1552.14,1563.43,77729446,121524725128.41,5.182
2024-03-29,600519,Kweichow Moutai,白酒消费,1574.83,1591.77,1537.54,1572.67,66297630,104264626120.06,4.42
2024-04-01,600519,Kweichow Moutai,白酒消费,1614.33,1641.04,1565.05,1596.31,69929395,111629172574.22,4.662
2024-04-02,600519,Kweichow Moutai,白酒消费,1614.16,1651.92,1585.56,1608.35,77314597,124348686556.91,5.154
2024-04-03,600519,Kweichow Moutai,白酒消费,1586.91,1622.79,1559.62,1614.38,61534513,99340206258.93,4.102
2024-04-04,600519,Kweichow Moutai,白酒消费,1578.39,1589.19,1547.79,1583.61,78196599,123832541359.41,5.213
2024-04-05,600519,Kweichow Moutai,白酒消费,1566.27,1596.62,1538.06,1563.52,60628269,94793480795.71,4.042
2024-04-08,600519,Kweichow Moutai,白酒消费,1552.71,1594.26,1523.66,1555.59,64850171,100880496498.05,4.323
2024-04-09,600519,Kweichow Moutai,白酒消费,1600.73,1612.39,1585.53,1594.29,72543026,115654880564.22,4.836
2024-04-10,600519,Kweichow Moutai,白酒消费,1572.97,1590.0,1538.92,1572.2,66052596,103847626551.63,4.404
2024-04-11,600519,Kweichow Moutai,白酒消费,1620.1,1634.97,1556.32,1596.95,73717352,117722823594.23,4.914
2024-04-12,600519,Kweichow Moutai,白酒消费,1560.28,1587.19,1545.12,1553.46,63296973,98329108714.23,4.22
2024-04-15,600519,Kweichow Moutai,白酒消费,1576.43,1611.25,1552.72,1577.01,71069431,112077295500.99,4.738
2024-04-16,600519,Kweichow Moutai,白酒消费,1571.64,1589.91,1534.16,1570.16,59797116,93890991667.88,3.986
2024-04-17,600519,Kweichow Moutai,白酒消费,1530.73,1586.99,1518.73,1547.84,81855828,126699854843.03,5.457
2024-04-18,600519,Kweichow Moutai,白酒消费,1575.91,1604.44,1547.57,1576.08,64936496,102344890161.02,4.329
2024-04-19,600519,Kweichow Moutai,白酒消费,1598.59,1625.94,1558.8,1593.66,60587724,96556161870.13,4.039
2024-04-22,600519,Kweichow Moutai,白酒消费,1624.2,1637.54,1582.96,1631.61,70455223,114955463599.89,4.697
2024-04-23,600519,Kweichow Moutai,白酒消费,1623.95,1650.06,1612.74,1636.27,54722074,89539881893.04,3.648
2024-04-24,600519,Kweichow Moutai,白酒消费,1656.16,1678.6,1628.39,1644.7,79581402,130887523627.98,5.305
2024-04-25,600519,Kweichow Moutai,白酒消费,1625.3,1668.42,1600.92,1630.17,65427118,106657451944.45,4.362
2024-04-26,600519,Kweichow Moutai,白酒消费,1641.09,1674.66,1611.34,1652.85,66982762,110712346652.06,4.466
2024-04-29,600519,Kweichow Moutai,白酒消费,1638.06,1670.53,1613.0,1631.66,66816822,109022186189.91,4.454
2024-04-30,600519,Kweichow Moutai,白酒消费,1635.85,1672.35,1597.35,1647.7,76074042,125347207618.09,5.072
2024-05-01,600519,Kweichow Moutai,白酒消费,1680.2,1700.44,1636.58,1677.92,54376410,91239079876.9,3.625
2024-05-02,600519,Kweichow Moutai,白酒消费,1652.11,1672.99,1612.26,1641.67,86769304,142446763221.84,5.785
2024-05-03,600519,Kweichow Moutai,白酒消费,1682.45,1701.5,1646.19,1687.83,53178567,89756139519.23,3.545
2024-05-06,600519,Kweichow Moutai,白酒消费,1687.57,1715.46,1653.06,1685.05,78423128,132147259679.27,5.228
2024-05-07,600519,Kweichow Moutai,白酒消费,1660.17,1714.68,1631.22,1684.04,67794760,114168897030.59,4.52
2024-05-08,600519,Kweichow Moutai,白酒消费,1668.99,1696.82,1635.87,1663.45,70728638,117653778846.69,4.715
2024-05-09,600519,Kweichow Moutai,白酒消费,1686.87,1699.63,1646.13,1683.57,63198943,106400107679.13,4.213
2024-05-10,600519,Kweichow Moutai,白酒消费,1653.99,1678.91,1633.89,1654.83,78972232,130685458757.36,5.265
2024-05-13,600519,Kweichow Moutai,白酒消费,1690.99,1719.23,1651.06,1695.88,58715790,99574883649.02,3.914
2024-05-14,600519,Kweichow Moutai,白酒消费,1684.13,1722.93,1673.61,1684.78,56847394,95775170606.28,3.79
2024-05-15,600519,Kweichow Moutai,白酒消费,1677.06,1710.77,1662.16,1673.71,56920899,95268936675.68,3.795
2024-05-16,600519,Kweichow Moutai,白酒消费,1671.7,1701.43,1623.84,1663.59,80802380,134421853240.18,5.387
2024-05-17,600519,Kweichow Moutai,白酒消费,1624.8,1673.67,1602.96,1642.65,79897201,131243308781.18,5.326
2024-05-20,600519,Kweichow Moutai,白酒消费,1646.73,1681.85,1641.74,1660.7,62420467,103661765457.68,4.161
2024-05-21,600519,Kweichow Moutai,白酒消费,1615.54,1645.28,1583.92,1617.68,77164376,124827487062.45,5.144
2024-05-22,600519,Kweichow Moutai,白酒消费,1572.27,1612.22,1522.31,1558.04,66658561,103856423506.05,4.444
2024-05-23,600519,Kweichow Moutai,白酒消费,1552.1,1589.25,1523.74,1550.02,60532715,93826695409.68,4.036
2024-05-24,600519,Kweichow Moutai,白酒消费,1528.14,1552.37,1489.56,1533.2,75438708,115662666855.32,5.029
2024-05-27,600519,Kweichow Moutai,白酒消费,1514.6,1534.97,1494.83,1503.8,70072751,105375593521.16,4.672
2024-05-28,600519,Kweichow Moutai,白酒消费,1509.11,1526.2,1480.83,1508.83,75793926,114359821055.89,5.053
2024-05-29,600519,Kweichow Moutai,白酒消费,1546.07,1572.51,1511.75,1529.38,70766528,108228925035.08,4.718
2024-05-30,600519,Kweichow Moutai,白酒消费,1485.99,1524.62,1468.45,1490.53,72095722,107460981895.21,4.806
2024-05-31,600519,Kweichow Moutai,白酒消费,1476.47,1484.13,1454.46,1475.9,61988123,91488513975.49,4.133
2024-06-03,600519,Kweichow Moutai,白酒消费,1511.9,1523.54,1498.3,1507.05,69304652,104445890003.44,4.62
2024-06-04,600519,Kweichow Moutai,白酒消费,1448.3,1484.99,1426.83,1463.7,75212255,110088434396.47,5.014
2024-06-05,600519,Kweichow Moutai,白酒消费,1492.01,1518.96,1462.83,1490.65,63764152,95049877641.37,4.251
2024-06-06,600519,Kweichow Moutai,白酒消费,1474.45,1504.06,1444.27,1485.48,61218617,90939130522.31,4.081
2024-06-07,600519,Kweichow Moutai,白酒消费,1451.51,1473.0,1425.7,1453.48,78492350,114087406420.04,5.233
2024-06-10,600519,Kweichow Moutai,白酒消费,1453.13,1492.68,1437.34,1461.41,89081382,130184119002.97,5.939
2024-06-11,600519,Kweichow Moutai,白酒消费,1443.0,1468.9,1437.89,1445.62,69691993,100748181897.39,4.646
2024-06-12,600519,Kweichow Moutai,白酒消费,1471.5,1506.84,1448.28,1473.15,55698431,82051951406.56,3.713
2024-06-13,600519,Kweichow Moutai,白酒消费,1429.15,1448.58,1389.02,1409.27,69400147,97803312173.63,4.627
2024-06-14,600519,Kweichow Moutai,白酒消费,1390.21,1431.16,1370.96,1401.53,76637701,107410099771.23,5.109
2024-06-17,600519,Kweichow Moutai,白酒消费,1350.91,1359.57,1319.2,1345.02,59812540,80449190361.31,3.988
2024-06-18,600519,Kweichow Moutai,白酒消费,1316.59,1328.2,1288.31,1306.08,57055603,74518967031.93,3.804
2024-06-19,600519,Kweichow Moutai,白酒消费,1283.55,1295.34,1275.82,1281.06,64788691,82998191861.48,4.319
2024-06-20,600519,Kweichow Moutai,白酒消费,1288.57,1308.64,1264.64,1285.43,53404870,68648239678.18,3.56
2024-06-21,600519,Kweichow Moutai,白酒消费,1241.5,1246.48,1227.55,1231.76,73213076,90180954247.64,4.881
2024-06-24,600519,Kweichow Moutai,白酒消费,1239.22,1253.1,1227.17,1237.4,80336760,99408830626.55,5.356
2024-06-25,600519,Kweichow Moutai,白酒消费,1234.95,1262.87,1209.86,1239.91,63078704,78211913731.02,4.205
2024-06-26,600519,Kweichow Moutai,白酒消费,1248.85,1272.72,1235.65,1249.41,85535538,106868699211.02,5.702
2024-06-27,600519,Kweichow Moutai,白酒消费,1252.43,1282.61,1226.76,1251.1,71025207,88859371789.51,4.735
2024-06-28,600519,Kweichow Moutai,白酒消费,1236.27,1251.68,1212.06,1233.25,60208827,74252670042.84,4.014
2024-07-01,600519,Kweichow Moutai,白酒消费,1201.53,1231.81,1167.55,1194.54,72872388,87048622443.72,4.858
2024-07-02,600519,Kweichow Moutai,白酒消费,1157.51,1183.64,1141.72,1163.3,64865526,75458197348.64,4.324
2024-07-03,600519,Kweichow Moutai,白酒消费,1177.87,1185.7,1156.04,1177.59,71959548,84738724394.34,4.797
2024-07-04,600519,Kweichow Moutai,白酒消费,1159.94,1172.57,1144.53,1160.66,71423166,82897945260.39,4.762
2024-07-05,600519,Kweichow Moutai,白酒消费,1112.83,1135.09,1104.46,1112.42,80359986,89393790504.04,5.357
2024-07-08,600519,Kweichow Moutai,白酒消费,1124.46,1127.83,1111.92,1117.23,62301474,69604850151.31,4.153
2024-07-09,600519,Kweichow Moutai,白酒消费,1109.4,1135.19,1086.95,1118.05,62929407,70358145563.74,4.195
2024-07-10,600519,Kweichow Moutai,白酒消费,1135.77,1148.95,1106.42,1129.56,107138432,121019091337.38,7.143
2024-07-11,600519,Kweichow Moutai,白酒消费,1074.73,1081.38,1068.59,1072.66,69252886,74285104335.12,4.617
2024-07-12,600519,Kweichow Moutai,白酒消费,1102.99,1122.64,1083.51,1095.09,59418322,65068291325.6,3.961
2024-07-15,600519,Kweichow Moutai,白酒消费,1132.4,1155.65,1103.96,1133.46,66549820,75431789954.71,4.437
2024-07-16,600519,Kweichow Moutai,白酒消费,1131.66,1135.28,1109.18,1127.66,84318008,95082187217.33,5.621
2024-07-17,600519,Kweichow Moutai,白酒消费,1145.95,1163.25,1109.13,1128.09,65239775,73596660497.65,4.349
2024-07-18,600519,Kweichow Moutai,白酒消费,1086.99,1100.67,1059.48,1095.61,67558314,74017380845.94,4.504
2024-07-19,600519,Kweichow Moutai,白酒消费,1122.4,1145.58,1093.18,1109.63,59461104,65979741114.05,3.964
2024-07-22,600519,Kweichow Moutai,白酒消费,1109.21,1132.67,1095.13,1112.81,74696288,83122521730.82,4.98
2024-07-23,600519,Kweichow Moutai,白酒消费,1094.6,1106.86,1066.77,1086.97,62498296,67934077318.5,4.167
2024-07-24,600519,Kweichow Moutai,白酒消费,1061.71,1084.48,1036.46,1054.14,65510530,69057011331.16,4.367
2024-07-25,600519,Kweichow Moutai,白酒消费,1066.24,1091.93,1030.55,1055.13,59859081,63159273688.32,3.991
2024-07-26,600519,Kweichow Moutai,白酒消费,1056.18,1065.54,1051.66,1058.51,80363407,85065707687.71,5.358
2024-07-29,600519,Kweichow Moutai,白酒消费,1042.96,1046.58,1013.49,1037.2,71774222,74444554194.16,4.785
2024-07-30,600519,Kweichow Moutai,白酒消费,1047.19,1072.61,1041.89,1048.66,61082128,64054508846.11,4.072
2024-07-31,600519,Kweichow Moutai,白酒消费,1046.7,1076.26,1040.6,1049.9,63719977,66899702449.67,4.248
2024-08-01,600519,Kweichow Moutai,白酒消费,1037.99,1060.57,1020.43,1033.32,60330531,62340521542.99,4.022
2024-08-02,600519,Kweichow Moutai,白酒消费,1028.14,1054.34,1005.31,1031.39,64121313,66133843148.03,4.275
2024-08-05,600519,Kweichow Moutai,白酒消费,1034.54,1048.24,1010.29,1035.81,70453197,72976077684.84,4.697
2024-08-06,600519,Kweichow Moutai,白酒消费,1036.41,1072.31,1020.26,1050.19,74373206,78106271553.01,4.958
2024-08-07,600519,Kweichow Moutai,白酒消费,1045.64,1062.84,1021.41,1054.07,65232380,68759665013.22,4.349
2024-08-08,600519,Kweichow Moutai,白酒消费,1074.05,1082.58,1045.57,1068.28,65582797,70060854825.85,4.372
2024-08-09,600519,Kweichow Moutai,白酒消费,1083.46,1090.7,1073.36,1086.73,63286335,68774939683.1,4.219
2024-08-12,600519,Kweichow Moutai,白酒消费,1086.53,1100.05,1071.53,1096.71,73765298,80899354897.83,4.918
2024-08-13,600519,Kweichow Moutai,白酒消费,1064.78,1076.33,1043.2,1060.48,74736360,79256054099.46,4.982
2024-08-14,600519,Kweichow Moutai,白酒消费,1064.44,1070.36,1058.09,1062.62,84474771,89764471061.72,5.632
2024-08-15,600519,Kweichow Moutai,白酒消费,1076.85,1089.87,1053.48,1062.99,73367042,77988555995.58,4.891
2024-08-16,600519,Kweichow Moutai,白酒消费,1042.88,1054.66,1018.16,1037.53,56763562,58894178776.56,3.784
2024-08-19,600519,Kweichow Moutai,白酒消费,1059.25,1084.88,1031.82,1060.48,77323043,81999754675.6,5.155
2024-08-20,600519,Kweichow Moutai,白酒消费,1046.75,1062.9,1022.38,1051.41,65011018,68353034133.92,4.334
2024-08-21,600519,Kweichow Moutai,白酒消费,1010.89,1033.26,987.41,1017.16,58112702,59110188391.04,3.874
2024-08-22,600519,Kweichow Moutai,白酒消费,996.89,1012.33,986.21,1004.66,90037368,90456785833.93,6.002
2024-08-23,600519,Kweichow Moutai,白酒消费,1053.77,1070.59,1031.45,1041.86,63846270,66518637683.93,4.256
2024-08-26,600519,Kweichow Moutai,白酒消费,1035.57,1046.29,1011.49,1035.33,85071258,88077091041.37,5.671
2024-08-27,600519,Kweichow Moutai,白酒消费,1082.02,1086.57,1063.05,1074.94,60488870,65021912471.6,4.033
2024-08-28,600519,Kweichow Moutai,白酒消费,1094.66,1110.99,1050.59,1075.37,65474016,70408989513.84,4.365
2024-08-29,600519,Kweichow Moutai,白酒消费,1094.81,1115.91,1063.9,1080.64,72579516,78432343132.85,4.839
2024-08-30,600519,Kweichow Moutai,白酒消费,1084.1,1114.35,1077.35,1088.35,82120622,89376306036.37,5.475
2024-09-02,600519,Kweichow Moutai,白酒消费,1114.13,1127.04,1091.89,1119.35,59875858,67021760806.14,3.992
2024-09-03,600519,Kweichow Moutai,白酒消费,1105.46,1136.73,1084.55,1109.92,76561603,84977555056.33,5.104
2024-09-04,600519,Kweichow Moutai,白酒消费,1129.16,1145.04,1119.72,1126.91,77729862,87594301756.86,5.182
2024-09-05,600519,Kweichow Moutai,白酒消费,1146.02,1152.7,1122.04,1133.8,60958973,69115362442.97,4.064
2024-09-06,600519,Kweichow Moutai,白酒消费,1153.08,1174.62,1123.33,1139.24,75436803,85940905404.11,5.029
2024-09-09,600519,Kweichow Moutai,白酒消费,1152.15,1160.03,1143.46,1153.87,84294659,97264848013.99,5.62
2024-09-10,600519,Kweichow Moutai,白酒消费,1163.38,1179.97,1147.86,1162.16,80131896,93126312450.04,5.342
2024-09-11,600519,Kweichow Moutai,白酒消费,1141.31,1158.3,1112.62,1134.46,61346896,69595563868.23,4.09
2024-09-12,600519,Kweichow Moutai,白酒消费,1158.94,1164.08,1128.61,1158.48,63528843,73596749073.49,4.235
2024-09-13,600519,Kweichow Moutai,白酒消费,1180.57,1199.19,1155.0,1184.53,53574137,63460157520.24,3.572
2024-09-16,600519,Kweichow Moutai,白酒消费,1210.15,1239.66,1198.26,1210.46,69798768,84488385228.81,4.653
2024-09-17,600519,Kweichow Moutai,白酒消费,1214.26,1249.97,1204.11,1219.32,63371597,77270477312.66,4.225
2024-09-18,600519,Kweichow Moutai,白酒消费,1250.44,1262.1,1230.58,1249.04,63124677,78845275639.8,4.208
2024-09-19,600519,Kweichow Moutai,白酒消费,1235.76,1252.37,1219.51,1243.38,53613529,66662152266.73,3.574
2024-09-20,600519,Kweichow Moutai,白酒消费,1250.4,1281.06,1228.07,1241.54,62952752,78158203353.92,4.197
2024-09-23,600519,Kweichow Moutai,白酒消费,1235.91,1248.34,1205.73,1233.67,103863077,128132940602.74,6.924
2024-09-24,600519,Kweichow Moutai,白酒消费,1213.87,1218.78,1201.93,1212.02,73014622,88495097394.68,4.868
2024-09-25,600519,Kweichow Moutai,白酒消费,1217.19,1237.91,1202.8,1217.91,64226596,78222498438.77,4.282
2024-09-26,600519,Kweichow Moutai,白酒消费,1168.95,1182.1,1152.37,1176.28,83248029,97922782447.33,5.55
2024-09-27,600519,Kweichow Moutai,白酒消费,1150.68,1184.32,1135.93,1168.97,70272598,82146528293.58,4.685
2024-09-30,600519,Kweichow Moutai,白酒消费,1153.86,1173.02,1144.95,1154.63,67910268,78410900804.97,4.527
2024-10-01,600519,Kweichow Moutai,白酒消费,1139.07,1155.37,1114.05,1147.47,61398402,70453097079.44,4.093
2024-10-02,600519,Kweichow Moutai,白酒消费,1164.96,1179.8,1157.82,1172.98,61251431,71846615608.08,4.083
2024-10-03,600519,Kweichow Moutai,白酒消费,1154.78,1165.22,1133.68,1152.62,73551748,84777326520.82,4.903
2024-10-04,600519,Kweichow Moutai,白酒消费,1116.85,1127.86,1093.37,1122.41,70439305,79061967915.7,4.696
2024-10-07,600519,Kweichow Moutai,白酒消费,1182.25,1192.58,1170.06,1176.99,68674272,80828950175.26,4.578
2024-10-08,600519,Kweichow Moutai,白酒消费,1205.95,1212.03,1181.85,1196.61,71700283,85797524498.01,4.78
2024-10-09,600519,Kweichow Moutai,白酒消费,1155.42,1186.96,1126.57,1165.38,85819683,100012531397.47,5.721
2024-10-10,600519,Kweichow Moutai,白酒消费,1172.54,1189.05,1154.35,1165.96,85907912,100165446074.33,5.727
2024-10-11,600519,Kweichow Moutai,白酒消费,1179.64,1203.57,1163.83,1182.48,68866406,81432848459.65,4.591
2024-10-14,600519,Kweichow Moutai,白酒消费,1219.07,1234.91,1198.52,1212.75,76786151,93122580023.27,5.119
2024-10-15,600519,Kweichow Moutai,白酒消费,1211.76,1239.51,1180.0,1205.64,73807940,88985636316.69,4.921
2024-10-16,600519,Kweichow Moutai,白酒消费,1208.64,1246.59,1200.95,1222.54,74015020,90486670922.46,4.934
2024-10-17,600519,Kweichow Moutai,白酒消费,1232.77,1251.15,1214.82,1233.33,73785047,91001304214.53,4.919
2024-10-18,600519,Kweichow Moutai,白酒消费,1234.17,1259.07,1200.62,1232.28,65669672,80923641275.69,4.378
2024-10-21,600519,Kweichow Moutai,白酒消费,1276.53,1299.46,1255.3,1279.23,90344336,115571086008.65,6.023
2024-10-22,600519,Kweichow Moutai,白酒消费,1288.44,1305.25,1255.06,1288.17,85119085,109647552520.71,5.675
2024-10-23,600519,Kweichow Moutai,白酒消费,1267.98,1311.66,1259.83,1279.09,87065429,111364867836.35,5.804
2024-10-24,600519,Kweichow Moutai,白酒消费,1289.87,1308.54,1246.53,1276.33,89692365,114477057608.75,5.979
2024-10-25,600519,Kweichow Moutai,白酒消费,1288.64,1314.02,1273.39,1290.17,89047115,114886306686.19,5.936
2024-10-28,600519,Kweichow Moutai,白酒消费,1286.44,1302.11,1277.33,1292.01,76806962,99235702041.24,5.12
2024-10-29,600519,Kweichow Moutai,白酒消费,1245.39,1266.28,1229.96,1244.83,78864671,98173059161.06,5.258
2024-10-30,600519,Kweichow Moutai,白酒消费,1255.08,1262.88,1243.69,1258.66,68262883,85920058370.08,4.551
2024-10-31,600519,Kweichow Moutai,白酒消费,1254.56,1278.96,1218.76,1250.01,66185326,82732242893.34,4.412
2024-11-01,600519,Kweichow Moutai,白酒消费,1262.27,1276.18,1257.93,1268.56,60111809,76255379838.62,4.007
2024-11-04,600519,Kweichow Moutai,白酒消费,1283.38,1308.66,1260.23,1279.92,57224350,73242732529.05,3.815
2024-11-05,600519,Kweichow Moutai,白酒消费,1341.01,1355.63,1314.43,1337.3,59846458,80032510826.27,3.99
2024-11-06,600519,Kweichow Moutai,白酒消费,1322.08,1377.76,1310.94,1344.39,70999270,95450432024.72,4.733
2024-11-07,600519,Kweichow Moutai,白酒消费,1367.09,1391.33,1356.64,1364.69,72711758,99228698881.35,4.847
2024-11-08,600519,Kweichow Moutai,白酒消费,1352.06,1386.58,1327.86,1358.7,66451443,90287417667.04,4.43
2024-11-11,600519,Kweichow Moutai,白酒消费,1421.64,1427.08,1414.81,1420.85,72532233,103057387484.02,4.835
2024-11-12,600519,Kweichow Moutai,白酒消费,1373.92,1384.6,1358.45,1373.14,65359831,89748173807.71,4.357
2024-11-13,600519,Kweichow Moutai,白酒消费,1357.82,1389.85,1332.91,1362.88,69325120,94481590795.19,4.622
2024-11-14,600519,Kweichow Moutai,白酒消费,1354.82,1368.16,1324.39,1351.3,63987016,86465382480.92,4.266
